Season_1,Season_2,Season_3,Season_4
7.75,20.95,25.5,6.1
8.35,20.65,27.75,6.0
6.7,20.1,26.9,6.65
6.75,21.3,26.6,8.4
7.3,20.95,27.95,8.4
7.9,21.55,26.25,8.05
5.75,20.2,25.1,6.55
7.35,21.95,26.35,5.9
7.6,20.05,25.55,5.9
7.2,20.4,27.75,6.65
6.6,20.85,26.35,5.2
5.75,20.85,27.6,5.15
8.2,21.05,26.05,7.15
7.7,19.75,26.7,7.25
6.5,21.5,27.7,8.05
2.1,20.15,22.35,0.05
3.4,20.55,24.7,-0.85
1.65,19.05,22.0,0.6
1.7,19.7,23.25,0.65
2.6,20.95,23.35,0.05
2.25,18.35,21.9,-0.05
1.25,19.7,23.95,-0.7
3.1,20.65,24.45,0.15
3.05,20.4,22.5,0.1
3.0,21.1,25.15,1.1
1.1,20.05,23.8,-1.5
1.05,20.25,22.95,-1.3
2.65,20.7,23.1,0.85
1.8,19.05,24.7,-0.2
1.85,20.4,23.6,0.65
0.55,18.15,21.1,-1.3
2.15,19.05,23.3,-0.7
0.3,17.15,20.95,-0.9
0.45,18.05,22.2,-0.1
1.2,18.8,22.2,-0.35
0.7,16.6,20.95,-0.85
0.15,17.35,21.9,-2.05
2.25,20.35,23.9,0.5
2.1,19.3,22.5,-1.1
2.4,19.95,24.65,0.65
0.3,18.9,23.25,-2.45
-0.15,19.1,22.25,-1.9
2.1,19.65,21.9,0.05
0.75,18.2,23.8,0.3
1.2,19.6,23.55,0.15
-14.15,7.4,14.75,-17.75
-11.55,10.05,13.45,-15.1
-13.1,6.85,13.55,-19.8
-15.8,7.6,12.7,-17.25
-14.15,8.9,12.45,-17.05
-13.9,8.65,13.45,-16.2
-15.6,8.0,13.4,-18.35
-12.95,10.15,12.65,-14.5
-14.3,11.0,12.8,-15.8
-11.25,6.85,13.3,-16.25
-15.8,8.35,12.65,-18.15
-15.35,8.55,12.85,-17.1
-12.6,8.95,12.75,-15.95
-15.4,8.5,12.85,-17.3
-14.35,9.25,13.85,-15.85
-8.5,11.85,20.2,-11.85
-7.05,15.45,19.45,-9.5
-8.8,12.05,18.6,-13.15
-9.9,12.4,18.95,-13.1
-9.2,14.7,19.55,-10.95
-7.4,13.0,17.65,-8.1
-9.3,13.1,17.55,-12.9
-9.3,14.8,18.7,-8.7
-7.95,16.0,18.8,-10.6
-5.85,13.8,19.3,-11.35
-10.65,13.8,18.4,-11.0
-10.55,13.55,17.9,-12.7
-9.0,13.75,17.7,-10.15
-10.75,13.9,18.55,-9.45
-7.45,14.3,19.5,-8.8
8.5,22.4,26.8,7.3
9.35,21.9,28.7,5.95
