feature_T1_lower,feature_T1_upper,feature_T2_lower,feature_T2_upper,feature_T3_lower,feature_T3_upper,feature_T4_lower,feature_T4_upper
0.67,14.83,13.44,28.46,31.18,19.82,9.98,
14.38,2.32,28.47,,23.19,32.31,1.01,10.99
0.91,12.49,28.4,11.8,19.68,34.12,2.99,10.31
-1.98,15.48,14.5,28.1,20.81,,4.89,11.91
,13.27,12.81,29.09,20.58,,3.61,13.19
1.43,14.37,,30.64,19.72,32.78,11.49,4.61
1.19,10.31,11.38,29.02,19.19,31.01,2.3,10.8
,15.02,,30.51,19.88,32.82,1.69,10.11
1.63,13.57,11.99,28.11,,31.4,1.9,9.9
13.48,,13.03,27.77,22.18,,10.09,3.21
-1.38,14.58,12.12,,20.07,32.63,1.99,8.41
1.28,10.22,13.41,28.29,21.69,33.51,1.11,9.19
14.8,1.6,,28.56,,32.08,3.71,10.59
2.91,12.49,11.93,27.57,,20.73,2.51,11.99
1.8,11.2,13.52,29.48,20.11,35.29,4.32,11.78
-7.84,12.04,8.01,32.29,14.68,30.02,-6.23,6.33
,14.17,8.65,32.45,32.84,16.56,5.68,-7.38
-8.6,11.9,6.91,31.19,15.27,28.73,-5.31,6.51
,-11.86,9.35,30.05,,30.69,-3.08,4.38
-6.67,11.87,33.85,8.05,31.82,14.88,6.78,-6.68
-7.59,12.09,6.45,30.25,,30.12,-4.39,4.29
10.52,,6.8,,14.4,33.5,-7.1,5.7
-9.04,15.24,9.55,31.75,15.98,32.92,-6.93,7.23
-8.5,14.6,9.74,31.06,14.91,30.09,,5.5
-7.45,13.45,9.55,32.65,17.64,32.66,-4.52,6.72
-8.94,,31.37,8.73,14.8,,-6.39,3.39
,10.41,9.15,31.35,15.13,30.77,4.91,-7.51
-7.7,13.0,9.26,32.14,14.96,31.24,,6.82
-7.75,11.35,8.17,29.93,16.56,32.84,-5.19,4.79
-7.06,10.76,9.08,31.72,16.73,,-3.91,5.21
-9.49,10.59,29.82,6.48,29.57,,-7.9,5.3
-8.62,12.92,7.95,30.15,15.0,31.6,-6.98,5.58
10.24,-9.64,5.83,,14.01,27.89,4.89,-6.69
13.35,-12.45,7.91,28.19,30.42,13.98,-4.39,4.19
-8.94,11.34,31.19,6.41,30.42,13.98,-6.82,6.12
-9.34,10.74,5.16,,12.22,,4.19,-5.89
-9.5,9.8,,,12.35,31.45,-8.33,4.23
-9.07,13.57,9.25,,,32.29,-5.78,6.78
-8.89,13.09,29.75,8.85,30.72,14.28,-6.4,
,13.06,8.51,31.39,16.59,32.71,-4.92,6.22
9.57,-8.97,7.35,30.45,14.34,32.16,-7.39,2.49
-9.42,9.12,8.54,29.66,,30.31,,
12.87,-8.67,8.55,,14.0,29.8,-5.92,6.02
-8.07,9.57,7.64,,15.9,31.7,-5.0,5.6
9.59,-7.19,,30.48,,30.49,-4.41,4.71
-24.4,-3.9,21.65,-6.85,3.98,25.52,-23.6,-11.9
,-22.99,,-2.34,,24.33,,-9.42
-22.85,,-6.05,19.75,24.99,2.11,-25.1,-14.5
-28.7,-2.9,-5.82,21.02,1.38,24.02,-21.81,-12.69
-24.29,-4.01,-5.35,23.15,23.01,1.89,-22.19,-11.91
-1.76,-26.04,-6.63,23.93,1.9,25.0,-20.9,
-27.39,,-8.23,24.23,3.36,23.44,-24.38,-12.32
-24.16,-1.74,22.05,-1.75,0.75,24.55,,-8.82
,-3.53,-2.69,24.69,1.92,23.68,-19.8,-11.8
-22.69,0.19,,18.29,,22.03,-20.42,
-5.55,,-5.48,22.18,3.0,22.3,-22.62,-13.68
,-26.79,-4.61,21.71,1.75,23.95,-10.09,-24.11
,-0.7,24.39,,3.0,22.5,-20.69,-11.21
-25.24,-5.56,23.33,-6.33,2.08,23.62,,-12.6
-4.7,,-4.44,22.94,,23.6,-10.61,-21.09
-20.05,3.05,23.99,-0.29,11.29,29.11,,-5.88
-19.19,5.09,4.01,26.89,11.47,27.43,-1.99,-17.01
-20.59,,0.38,23.72,9.24,27.96,-19.12,-7.18
-24.29,4.49,0.26,24.54,9.01,28.89,-17.89,-8.31
-21.34,2.94,,,10.28,28.82,-5.21,-16.69
-18.5,3.7,-0.56,26.56,8.74,26.56,-12.61,-3.59
3.09,,-0.87,27.07,8.64,26.46,-19.3,-6.5
3.99,-22.59,3.59,26.01,28.06,9.34,-14.79,-2.61
-19.39,3.49,3.49,28.51,8.76,28.84,-5.9,-15.3
-17.75,6.05,3.24,24.36,11.79,,-16.49,-6.21
-21.42,0.12,1.16,,9.13,27.67,-15.7,-6.3
-22.82,1.72,1.88,25.22,9.68,26.12,-18.79,-6.61
-21.51,3.51,1.24,26.26,25.68,9.72,-14.49,-5.81
-21.41,-0.09,,25.57,27.02,10.08,-14.69,-4.21
2.69,-17.59,27.46,1.14,11.03,27.97,-15.88,
16.48,0.52,14.73,,21.12,32.48,3.71,10.89
3.73,14.97,,30.04,23.02,,0.6,11.3
,11.39,29.14,12.86,19.73,33.47,10.99,4.31
17.42,-1.12,15.18,28.12,,33.83,5.39,12.71
2.42,14.48,13.31,29.59,20.83,35.57,4.92,13.68
,14.27,13.63,30.07,20.0,33.6,6.39,14.01
1.7,11.0,,30.84,33.2,18.9,4.52,12.28
17.14,0.36,30.69,14.41,20.08,35.42,1.7,12.3
14.57,2.63,27.79,12.91,19.92,34.08,2.4,11.7
,14.58,13.71,29.99,22.32,33.68,12.22,3.88
15.27,-0.37,13.68,31.32,19.9,34.2,1.62,9.38
1.89,10.91,13.36,29.64,20.38,34.82,1.5,10.9
2.62,16.08,14.59,29.61,,19.49,12.29,3.71
13.5,,12.46,29.24,20.58,33.52,2.33,14.27
2.71,12.59,12.86,31.04,20.03,34.77,4.1,13.3
2.79,15.21,,27.27,18.11,29.69,11.29,3.21
2.91,17.79,12.93,27.67,20.42,31.78,0.91,12.49
1.31,13.49,12.01,27.49,18.03,29.27,3.49,10.51
1.09,17.21,13.83,28.57,19.18,30.42,5.99,12.11
1.91,15.79,12.58,28.22,18.4,31.2,14.89,4.41
2.5,15.3,28.67,13.03,29.59,,6.7,11.8
2.99,15.41,11.81,28.09,17.49,29.91,4.19,12.11
2.61,17.79,27.63,13.47,29.42,18.18,3.12,10.58
16.19,4.61,11.43,27.87,18.19,29.11,2.3,11.6
13.91,1.49,,27.58,19.11,28.89,10.81,4.99
